epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,11414.9,0.47713,0.65209,1.03078,0.57786,0.57783,0.48253,0.39836,0.53441,2.16253,1.0852,0.00244299,0.000814329,0.00244299,0.000814329,0.00244299,0.000814329,0.00244299,0.000814329
64,11597.4,0.45112,0.63141,1.00608,0.54039,0.54598,0.46643,0.39257,0.51115,2.20876,1.05608,0.00240173,0.000800577,0.00240173,0.000800577,0.00240173,0.000800577,0.00240173,0.000800577
65,11779.7,0.48124,0.66211,1.02866,0.54406,0.53448,0.46243,0.38976,0.53006,2.24474,1.08325,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824,0.00236047,0.000786824
66,11960.6,0.45991,0.68323,1.01529,0.50748,0.54023,0.47154,0.39774,0.53752,2.28059,1.0974,0.00231921,0.000773071,0.00231921,0.000773071,0.00231921,0.000773071,0.00231921,0.000773071
67,12141,0.45043,0.63818,1.00316,0.53675,0.56322,0.47012,0.39129,0.54548,2.28148,1.10839,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
68,12315.9,0.44379,0.64479,1.0074,0.53987,0.53448,0.47135,0.40209,0.54001,2.27135,1.10269,0.0022367,0.000745566,0.0022367,0.000745566,0.0022367,0.000745566,0.0022367,0.000745566
69,12496.4,0.4251,0.61438,0.99516,0.5146,0.53619,0.47249,0.40093,0.55989,2.232,1.12367,0.00219544,0.000731813,0.00219544,0.000731813,0.00219544,0.000731813,0.00219544,0.000731813
70,12675.3,0.46555,0.62362,1.02256,0.57076,0.46452,0.46248,0.40185,0.53312,2.23623,1.07887,0.00215418,0.00071806,0.00215418,0.00071806,0.00215418,0.00071806,0.00215418,0.00071806
71,12855.1,0.48099,0.67238,1.0253,0.50464,0.51246,0.47183,0.40464,0.50782,2.21362,1.05666,0.00211292,0.000704307,0.00211292,0.000704307,0.00211292,0.000704307,0.00211292,0.000704307
72,13036.2,0.45454,0.63054,1.02356,0.62465,0.49296,0.47153,0.40031,0.52886,2.20486,1.07018,0.00207166,0.000690555,0.00207166,0.000690555,0.00207166,0.000690555,0.00207166,0.000690555
73,13217,0.43408,0.61641,1.01394,0.56094,0.50575,0.47083,0.39585,0.54312,2.25686,1.08455,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
74,13397.7,0.46465,0.65172,1.01246,0.63131,0.46464,0.47749,0.40279,0.51755,2.20781,1.06719,0.00198915,0.000663049,0.00198915,0.000663049,0.00198915,0.000663049,0.00198915,0.000663049
75,13578.8,0.44629,0.62299,1.01353,0.59668,0.51149,0.46363,0.3833,0.5129,2.22982,1.06094,0.00194789,0.000649297,0.00194789,0.000649297,0.00194789,0.000649297,0.00194789,0.000649297
76,13754.1,0.45596,0.63108,1.00471,0.56859,0.5319,0.46909,0.38556,0.53637,2.24581,1.08924,0.00190663,0.000635544,0.00190663,0.000635544,0.00190663,0.000635544,0.00190663,0.000635544
77,13934,0.44167,0.61999,1.01661,0.60106,0.45652,0.45178,0.38656,0.52307,2.27923,1.07803,0.00186537,0.000621791,0.00186537,0.000621791,0.00186537,0.000621791,0.00186537,0.000621791
78,14116.5,0.43419,0.61488,1.00974,0.59526,0.46634,0.45578,0.39902,0.51447,2.27917,1.06976,0.00182411,0.000608038,0.00182411,0.000608038,0.00182411,0.000608038,0.00182411,0.000608038
79,14296.4,0.4218,0.58887,0.99852,0.56959,0.55747,0.47579,0.40574,0.50799,2.25781,1.05991,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
80,14478.8,0.41815,0.59167,0.99582,0.5807,0.55172,0.46396,0.39814,0.50916,2.28796,1.05274,0.0017416,0.000580533,0.0017416,0.000580533,0.0017416,0.000580533,0.0017416,0.000580533
81,14666.5,0.44337,0.61376,0.99117,0.50733,0.51149,0.45192,0.38735,0.52993,2.29118,1.06255,0.00170034,0.00056678,0.00170034,0.00056678,0.00170034,0.00056678,0.00170034,0.00056678
